siteCode,stationName
UDAY,UDAYAGIRI
UMAR,UMARKOTE
BHAU,BACHAU
BAGR,BAGASARA
BYAD,BAYAD
BHUJ,BHUJ
BOTA,BOTAD
DAHO,DAHOD
DPAR,DAYAPAR
DHKA,DHANDHUKA
DHOL,DHOLKA
GAAR,GANDHINAGAR
GOAL,GONDAL
HAGR,HIMMATNAGAR
JAMN,JAMNAGAR
KAWD,KALAWAD
LTHI,LATHI
MAN1,MANDAL
MSKA,MASKA
NIYA,NALIYA
PTAN,PATAN
SDLA,SAVARKUNDLA
SURE,SURENDERNAGAR
TALA,TALALA
THAR,THARAD
VAHI,VARAHI
VAR1,VYARA
JSUR,JAMBUSAR
PALA,PALANPUR
UPLE,UPLETA
SANU,SANTRAMPUR
BODE,BODELI
LAL2,LALPUR
VADO,VADODARA
CHOL,CHOTILA
BHAV,BHAVNAGAR
ADER,ADESAR
BALA,BALASAR
NARL,NARALI
NTNG,NETRANG
BHRI,BHRINDIYARA
KOBG,KOBG
ITIR,ITI RAJKPT
GODH,GODHRA
MEHS,MEHSANA
SUIG,SUIGAM
AHWA,AHWA
NADI,NADIAD
TANK,TANKARA
DHEJ,DAHEJ
KABR,KABRADA
VALS,VALSAD
MAHU,MAHUVA
DHAM,DHARAMPUR
MADV,MADHAVPUR
SURA,SURAT
KHAB,KHAMBHALIYA
ALIP,ALIPURDUAR
ARAM,ARAMBAG
BALU,BALURGHAT
BANO,BANGAON
BARD,BARDHAMAN
BASI,BASIRHAT
BEHA,BEHARAMPUR
CANN,CANNING
CHHA,CHHATNA
CONT,CONTIA
DEBA,DEBAGRAM
DIAM,DIAMONDH
DINH,DINHATA
JALP,JALPAIGURI
KARI,KARIMPUR
KAT1,KATAMARI
KHA1,KHARAGPU
KRIS,KRISHNANAGAR
MALB,MALBAZAR
MALD,MALDA
MOGR,MOGRARA
NAXA,NAXALBARI
PANS,PANSKURA
PURU,PURULIYA
RAI1,RAIGANJ
SAGA,SAGARISL
SAIN,SAINTHIA
SARE,SARENGA
BOLP,BOLPUR
DARJ,DARJEELING
KOLK,KOLKATA
KUMI,KUMIRMARI
LAL1,LALGOLA
MANB,MANBAZAR
ASAN,ASANSOL
FALA,FALAKATA
BISH,BISHNUPUR
DURG,DURGAPUR
GAN1,GANGTOK
LACH,LACHUNG
MAN1,MANGAN
YUKS,YUKSOM
CONC,CONCONA
DAAR,DAYANADNAGAR
TIVI,TIVIM
AGAT,AGATTI
AMIN,AMINI
ANDR,ANDROTH
KAVA,KAVARATTI
MINI,MINICOY
DHPR,DHARMAPUR
MAYA,MAYABUNDAR
PBAY,PHOENIXBAY
SITA,SITANAGAR
SEEK,SOUTH CREEK
SEEP,SWARAJDWEEP
LOIS,LONG ISLAND
KADM,KADAMTALA
KILS,KILSHORI NAGAR
SHA1,SHAHEED DWEEP
CAMP,CAMPBELL BAY
CARN,CAR NICOBAR
CHID,CHIDIYA TAPU
KAMR,KAMROTA
HUTB,HUTBAY
SHOL,SHOALBAY
AGWM,AGASTHASWEERAM
ALAN,ALANGUDI
AMSM,AMBASAMUTHRAM
ANNU ,ANNUR
ANTH,ANTHIYUR
ATUR,ATHUR
CHN1 ,CHENNAI
CYAR,CHEYYAR
CHEY ,CHEYYUR
CUDD,CUDDALORE
GNGI ,GINGEE
GDLR,GUDALUR
GDYM,GUDIYATHAM
GUMP,GUMMIDIPOONDI
HARU ,HARUR
HSUR ,HOSUR
KADI ,KADALADI
KDVR,KADAVUR
KLSP,KALASAPAKKAM
KLKC,KALLAKURICHI
KMTH,KAMUTHI
KANC,KANCHIPURAM
KGYM,KANGEYAM
KKDI,KARAIKUDI
KRYP,KARIYAPATTI
KARU ,KARUR
KTPD,KATPADI
KTDU,KINATHUKADAVU
KODA,KODAIKANAL
KOLI,KOLLIHILLS
KVIL,KOVILPATTI
KRIN,KRISHNAGIRI
KUDV,KUDAVASAL
KUND,KUNDAH
KURI,KURINJIPADI
KZTH,KUZHITHURAI
MDKL,MADATHUKULAM
MNME,MANAMELGUDI
NAGA,NAGAPATNAM
NHAM,NATHAM
NATR,NATRAMPALLI
NLKT,NILAKOTTAI
ODDA,ODDANCHATHRAM
PYKT,PALAYAMKOTTAI
PLPT,PALLIPATTU
PTTK,PATTUKOTTAI
PNGM,PENNAGARAM
PRYU,PERAIYUR
PBLU,PERAMBALUR
PNMY,PONNAMARAVATHY
PUDU,PUDUCHERRY
RDHM,RADHAPURAM
RMND,RAMANATHAPURAM
RMWM,RAMESHWARAM
SALM,SALEM
SNTR,SENTHURAI
SKLI,SIRKALI
SIVA,SIVAGANGAI
SGIR,SIVAGIRI
SRGM,SRIRANGAM
TALV,TALAVADI
TNKS,TENKASI
TDPT,THANDRAMPATTU
TCND,THIRUCHENDUR
TCGD,THIRUCHENGODE
THIR,THIRUPORUR
TVDI,THIRUVADANAI
TVYR,THIRUVAIYARU
TIRV,THIRUVALLUR
TTKD,THOOTHUKUDI
ULUN,ULUNDURPET
UTPM,UTHAMAPALAYAM
VALP,VALPARAI
VNUR,VANUR
VEDA,VEDHARANYAM
